姓名,身份证号,电话
刘鑫,310101200406197474,13988779347
徐磊,33010619990324071X,13725065754
韩敏,500101199204015708,15743224567
宋瑞轩,500101199905026856,18205318554
林嘉瑞,330106199112084810,15952489783
高娜秀英,500101199411080457,13788126963
唐怡超,330106200012164229,13717122213
黄浩瑶,110101199207122493,18047340919
周伟,440106200111040796,15623530900
高丽嘉,510107200112248091,15990235703
李超浩,61010420050814295X,15887146384
梁鹏伟,32010619941207935X,18324428910
谢勇秀英,330106199303150323,15950266003
王强飞,440106199006229647,15894083839
何琳,110101199703105561,15013222187
赵宇,610104199410207836,13110219849
朱慧晨,310101199309092624,15037125664
张怡鹏,320106199210275205,18261667145
唐涛娜,410105199803042728,15509155807
罗丽瑞,610104199104111051,15897178144
陈强轩,320106199307191286,15326628282
朱鑫涛,310101200104272491,15543555605
邓洋,440106199308261204,15875170279
朱军超,510107199206275562,13177075670
赵雨,510107199412173225,18384898903
冯瑶琳,500101200201240120,15925126478
曹嘉轩,420106199710082569,13223345155
梁昊敏,110101199610241126,18648099713
朱华,330106200201084447,18771807572
梁艳杰,110101199903228363,15772451982
朱怡婷,420106199107214360,18512313422
刘怡强,320106199509104830,15999300170
唐涛婷,440106199509273930,13998152365
郑晨,110101199508076267,15505745574
赵涛,310101200304103377,15238861944
韩雨鑫,510107200111240522,13310193944
郭勇,110101199412288863,15326422375
梁飞慧,310101199702240224,18954115978
唐华华,11010120030624634X,18674128146
何梦明,110101199907097313,15218260456
周轩伟,440106199909105661,18054770559
吴婷,410105200210273841,13187980477
刘飞,510107199910140952,15297652260
黄敏,420106199102081976,13541185747
胡婷浩,510107199804083659,18886569327
郭瑶昊,510107199602219255,15504461801
黄娟,610104199210157379,15391987842
孙梦华,330106199906139369,15637396817
朱娟明,410105200310220421,13843348920
冯艳,320106199304199581,15594222574
吴瑞琪,320106199601199684,18591845285
谢慧涵,310101199608095462,15208026722
罗涵,420106200112032110,13246338151
胡静,32010619940415513X,15748518019
林飞雨,310101199310127492,13115742864
孙琪妍,440106199910216211,13154202061
林轩嘉,510107199603232865,15548307459
周梦,610104200006061615,18676928120
罗强欣,420106200108110462,13376409848
唐超军,330106200505060700,13150597001
朱瑶怡,310101199605259425,13929247381
杨瑶杰,110101200510135751,13891902642
何怡鑫,610104199201076761,13555959155
唐华雨,420106200311066823,13299215411
朱妍华,420106199010139544,15569228795
韩涛,110101199611257859,15341824927
王宇涵,410105199805186987,13170623646
朱杰,310101200308221792,13031516763
韩敏明,610104199904231318,13061830299
韩明芳,330106200204172960,15039588248
吴涛怡,330106199209237262,15237418747
郑艳,410105199006197487,13678324356
黄明雨,330106199201068935,13276631728
杨宇梦,320106200408072900,15834715456
徐伟,330106200109263143,13327778497
刘轩昊,510107200105027506,15508602203
杨鹏嘉,500101199607077022,13776718529
徐雨,51010719980428555X,13969438522
谢超伟,420106199101235267,18038418252
韩梦晨,610104199506260068,18221240510
何轩娜,510107199604278881,13332799599
宋涛慧,51010720000207692X,15190909848
杨娟妍,510107199506058156,13688205340
韩超瑶,410105199608140701,18086621880
马欣,310101199403117613,13941670554
高娜,310101200008153871,15101970571
赵妍婷,310101199909181487,15742767324
吴杰芳,110101200107103127,18828133949
谢嘉琪,330106200302280287,13394478263
徐娟艳,330106199007044593,13224737127
宋杰伟,420106200106207754,15363255971
马浩慧,110101200501031475,18221316220
陈艳,330106199508077959,18669681416
朱琪,310101199902073109,13909906791
韩磊艳,440106199505286945,13134108056
林瑞,320106199608081996,15140677538
韩娜宇,110101200210123337,13123753694
周瑞,310101200412190666,13939934984
曹强洋,330106199502012951,13323405448
冯超,420106199411116597,13760922806
